"LIB_CODE","REG_NO","SPECIES_KEY","SERVICE_YN","VOL_TITLE","PUBLISHER","PUBLISH_YEAR","EA_ISBN","SEPARATE_SHELF_CODE","CLASS_NO","BOOK_CODE","VOL_CODE","COPY_CODE","FIRST_WORK","LAST_WORK","LOCAL_KEY","APPENDIX_YN","SHELF_LOC_DESC","SEPARATE_SHELF_DESC","FORM_DESC"
"000000",YK0000000314,10101923869,Y,,,"2009","9788993554205",,"808.91",펄44ㄷ,,,"20151016동기화 작업","20180116동기화 작업",10001297270,N,종합자료실,,도서
"000000",YK0000000317,10101923870,Y,,,"2003","9788972974468",,"879",제74ㄴ,"2",,"20151016동기화 작업","20180116동기화 작업",10001297274,N,종합자료실,,도서
"000000",YK0000000326,10101921089,Y,,,"1994","9788983460684",,"408",곰15ㅇ,,,"20151016동기화 작업","20180116동기화 작업",10001297284,N,종합자료실,아동,도서
"000000",YK0000000327,10101923871,Y,,,"2006","9788986903577",,"843",오65ㅁ,,,"20151016동기화 작업","20180116동기화 작업",10001297286,N,종합자료실,,도서
"000000",YK0000000328,10101921090,Y,,,"1997","9788975670367",,"811.6",윤25ㅎ,,,"20151017동기화 작업","20180116동기화 작업",10001297288,N,종합자료실,,도서
"000000",YK0000000329,10101921091,Y,,,"2001","9788970468402",,"235.2",김25ㄲ,,,"20151017동기화 작업","20180116동기화 작업",10001297290,N,종합자료실,,도서
"000000",YK0000000330,10101923872,Y,,,"2008","9788995948262",,"848",마87ㄱ,,,"20151016동기화 작업","20180116동기화 작업",10001297292,N,종합자료실,,도서
"000000",YK0000000331,10101921092,Y,,,"1996","9788975583032",,"199.108",데68ㅋ,,,"20151017동기화 작업","20180116동기화 작업",10001297294,N,종합자료실,,도서
"000000",YK0000000332,10101921093,Y,,,"2001","9788953100978",,"234.3",헨29ㅎ,,,"20151016동기화 작업","20180116동기화 작업",10001297296,N,종합자료실,,도서
"000000",YK0000000333,10101923873,Y,,,"2007","9788970983929",,"808.9",아29ㄲ,,,"20151016동기화 작업","20180116동기화 작업",10001297298,N,종합자료실,아동,도서
