"MASTER_USER_KEY","LOAN_LIB_CODE","LOAN_DATE","RETURN_PLAN_DATE","RETURN_DATE","DELAY_RETURN_DATE","RESERVATION_DATE","RESERVATION_CANCEL_DATE","RESERVATION_EXPIRE_DATE","STATUS","REG_NO","TITLE","AUTHOR","PUBLISHER","CALL_NO","FIRST_WORK","LAST_WORK","RETURN_LIB_CODE","LOAN_KEY","VOL","PAYMENT_KEY","LOCAL_KEY","MASTER_USER_KEY_BACK","CT_CREATE_DATE","CT_UPDATE_DATE","BOOK_APPENDIX_FLAG","INTERLIBRARY_LOAN_YN","EA_ISBN"
86991103,"122002",2015-10-16,2015-10-30,2015-12-01,,,,,"1",EM0000432952,생각은 죽지 않는다  : 인터넷이 생각을 좀먹는다고 염려하는 이들에게,클라이브 톰슨 지음  ; 이경남 옮김,알키,"331.5412-톰58ㅅ","20151016 1832 [122002]백주영@10.4.92.45 IL_K10_LOC_B01_SERVICE&gt;FrameManager.cpp#2074","2015/12/01 08:59:54 통합회원반납","122002",3726940921,,,93589371,,,,B,N,
86528154,"122002",2015-12-01,2015-12-31,2015-12-01,,,,,"1",EM0000431517,소서  : 삶의 근원은 무엇인가,"황석공 원저  ; 문이원, 최영희, 박지영, 문현선, 최민경 편저",동아일보사,"152.27-황53ㅅ","20151201 0900 [122002]임경애@10.4.92.46 IL_K10_LOC_B01_SERVICE&gt;FrameManager.cpp#2074","2015/12/01 09:00:52 통합회원반납","122002",4344258455,,,94081092,,,,B,N,
102801501,"127072",2015-11-24,2015-12-08,2015-12-09,,,,,"1",BM0000049941,일본어 중급표현 =Intermediate Japanese expressions,지은이: 김원기;박일호;안평호,성신여자대학교 출판부,일 730-김67ㅇ-1,"20151124 1756 [127072][]@192.168.0.10 EzlibService","20151209 1801 @10.10.20.242 IL_K11_LOC_B01_SERVICE","127072",4257137361,"1",,216997093,,,,B,N,
1237707760,"122008",2015-12-08,2015-12-22,2015-12-09,,,,,"1",EM0000348849,에드워드 홀 문화인류학 4부작. 1-4,에드워드 홀 지음 ; 최효선 옮김,한길사,"331.5-홀63ㄱ2-1","20151208 1554 [122008]윤기혁@10.4.80.71 IL_K10_LOC_B01_SERVICE&gt;FrameManager.cpp#1938","2015/12/09 18:03:00 통합회원반납","122008",4440036288,"1",,94448835,,,,B,N,
196378028,"127081",2015-11-15,2015-11-29,2015-12-01,,,,,"1",DM0000008281,바보 똥개야,전남진 글 ; 최윤영 그림,리젬,아813.8전192ㅂ,"2015/11/15 11:52[127081][MA]BSELF02_Loan","2015/12/01 08:55:52 통합회원반납","127081",4140198657,,,74410544,,,,B,N,
133653147,"149017",2015-11-17,2015-12-01,2015-12-01,,,,,"1",DSM000031691,규슈 셀프 트래블,박상용 글과 사진,상상,O981.3402-박51ㄱ,"20151117 1205 [149017]서부윤설@192.168.10.50 IL_K10_LOC_B01_SERVICE=FrameManager.cpp#1948","2015/12/01 08:56:09 통합회원반납","149017",4167576701,,,1031541735,,,,B,N,
3914733253,"127012",2015-11-25,2015-12-09,2015-12-01,,,,,"1",EM0000056843,곤충 기차를 타요,노정임 글 ; 안경자 그림,웃는돌고래,I 495-노74ㄱ,"20151125 1256 [127012]방종희@192.168.200.62 IL_K10_LOC_B01_SERVICE=FrameManager.cpp#1948","2015/12/01 08:56:33 통합회원반납","127012",4266217945,"10",,992339295,,,,B,N,
153460102,"122001",2015-12-01,2015-12-30,2015-12-01,,,,,"1",EM0000304358,자동차 속으로 들어간 돼지 : 교통수단의 발달과 원리,백명식 글·그림,내인생의책,MC 408-돼79-12,"20151201 0857 [122001]김상희@10.4.97.97 IL_K10_LOC_B01_SERVICE&gt;FrameManager.cpp#2074","2015/12/01 08:57:53 통합회원반납","122001",4344380143,"12",,94961299,,,,B,N,
153460102,"122001",2015-12-01,2015-12-30,2015-12-01,,,,,"1",EM0000286195,(현직 초등학교 선생님 207명이 강력 추천한) 선생님도 놀란 초등과학 뒤집기. 41-50,,성우,J408-선52-42,"20151201 0858 [122001]김상희@10.4.97.97 IL_K10_LOC_B01_SERVICE&gt;FrameManager.cpp#2074","2015/12/01 08:58:13 통합회원반납","122001",4344382164,"42",,94961328,,,,B,N,
153460102,"122001",2015-12-01,2015-12-30,2015-12-01,,,,,"1",EM0000300108,"쾌걸 조로리. 18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",하라 유타카 글·그림 ;  김수정 옮김,을파소,J833.6-쾌13-20,"20151201 0858 [122001]김상희@10.4.97.97 IL_K10_LOC_B01_SERVICE&gt;FrameManager.cpp#2074","2015/12/01 08:58:21 통합회원반납","122001",4344384511,"20",,94961345,,,,B,N,
