"LIB_CODE","SPECIES_KEY","IDX_TITLE","IDX_KEYWORD","IDX_AUTHOR","IDX_PUBLISHER","IDX_VOL_TITLE","ST_CODE","TITLE_INFO","AUTHOR_INFO","PUB_INFO","PUB_YEAR_INFO","FIRST_WORK","LAST_WORK"
"000000",100739389,지성과영성의만남우리시대를대표하는스승의스승멘토의멘토에게길을묻다 지성과영성의만남우리시대를대표하는스승의스승멘토의멘토에게길을 영성의만남우리시대를대표하는스승의스승멘토의멘토에게길을묻다 지성과영성의만남우리시대를대표하는스승의스승멘토의멘토에게 영성의만남우리시대를대표하는스승의스승멘토의멘토에게길을 만남우리시대를대표하는스승의스승멘토의멘토에게길을묻다 지성과영성의만남우리시대를대표하는스승의스승멘토의 영성의만남우리시대를대표하는스승의스승멘토의멘토에게 만남우리시대를대표하는스승의스승멘토의멘토에게길을 우리시대를대표하는스승의스승멘토의멘토에게길을묻다 지성과영성의만남우리시대를대표하는스승의스승 영성의만남우리시대를대표하는스승의스승멘토의 만남우리시대를대표하는스승의스승멘토의멘토에게 우리시대를대표하는스승의스승멘토의멘토에게길을 시대를대표하는스승의스승멘토의멘토에게길을묻다 지성과영성의만남우리시대를대표하는스승의 영성의만남우리시대를대표하는스승의스승 만남우리시대를대표하는스승의스승멘토의 우리시대를대표하는스승의스승멘토의멘토에게 시대를대표하는스승의스승멘토의멘토에게길을 대표하는스승의스승멘토의멘토에게길을묻다 지성과영성의만남우리시대를대표하는 영성의만남우리시대를대표하는스승의 만남우리시대를대표하는스승의스승 우리시대를대표하는스승의스승멘토의 시대를대표하는스승의스승멘토의멘토에게 대표하는스승의스승멘토의멘토에게길을 스승의스승멘토의멘토에게길을묻다 지성과영성의만남우리시대를 영성의만남우리시대를대표하는 만남우리시대를대표하는스승의 우리시대를대표하는스승의스승 시대를대표하는스승의스승멘토의 대표하는스승의스승멘토의멘토에게 스승의스승멘토의멘토에게길을 스승멘토의멘토에게길을묻다 지성과영성의만남우리 영성의만남우리시대를 만남우리시대를대표하는 우리시대를대표하는스승의 시대를대표하는스승의스승 대표하는스승의스승멘토의 스승의스승멘토의멘토에게 스승멘토의멘토에게길을 멘토의멘토에게길을묻다 지성과영성의만남 영성의만남우리 만남우리시대를 우리시대를대표하는 시대를대표하는스승의 대표하는스승의스승 스승의스승멘토의 스승멘토의멘토에게 멘토의멘토에게길을 멘토에게길을묻다 지성과영성의 영성의만남 만남우리 우리시대를 시대를대표하는 대표하는스승의 스승의스승 스승멘토의 멘토의멘토에게 멘토에게길을 길을묻다 지성과 영성의 만남 우리 시대를 대표하는 스승의 스승 멘토의 멘토에게 길을 묻다,지성과 영성의 만남 우리 시대를 대표하는 스승의 스승 멘토의 멘토에게 길을 묻다 이어령 이재철,이어령 이재철,홍성사,,"9788936503000",지성과 영성의 만남 (우리 시대를 대표하는 스승의 스승 멘토의 멘토에게 길을 묻다),이어령;이재철,홍성사,"2014","20170929동기화 작업","20180324001442 동기화 작업"
"000000",100725694,강신주의감정수업스피노자와함께배우는인간의48가지얼굴 강신주의감정수업스피노자와함께배우는인간의48가지 감정수업스피노자와함께배우는인간의48가지얼굴 강신주의감정수업스피노자와함께배우는인간의 감정수업스피노자와함께배우는인간의48가지 스피노자와함께배우는인간의48가지얼굴 강신주의감정수업스피노자와함께배우는 감정수업스피노자와함께배우는인간의 스피노자와함께배우는인간의48가지 함께배우는인간의48가지얼굴 강신주의감정수업스피노자와함께 감정수업스피노자와함께배우는 스피노자와함께배우는인간의 함께배우는인간의48가지 배우는인간의48가지얼굴 강신주의감정수업스피노자와 감정수업스피노자와함께 스피노자와함께배우는 함께배우는인간의 배우는인간의48가지 인간의48가지얼굴 강신주의감정수업 감정수업스피노자와 스피노자와함께 함께배우는 배우는인간의 인간의48가지 48가지얼굴 강신주의 감정수업 스피노자와 함께 배우는 인간의 48가지 얼굴,강신주의 감정수업 스피노자와 함께 배우는 인간의 48가지 얼굴 강신주,강신주,민음사,,"9788937488351",강신주의 감정수업 (스피노자와 함께 배우는 인간의 48가지 얼굴),강신주,민음사,"2013","20170929동기화 작업","20180324001429 동기화 작업"
"000000",100725713,생각이나서황경신한뼘노트 생각이나서황경신 나서황경신한뼘노트 생각이나서 나서황경신 황경신한뼘노트 생각이 나서 황경신 한뼘노트,생각이 나서 황경신 한뼘노트,황경신,소담출판사,,"9788973816361",생각이 나서 (황경신 한뼘노트),황경신,소담출판사,"2013","20170929동기화 작업","20180323162919 동기화 작업"
"000000",100727915,도가니,도가니 공지영,공지영,창비,,"9788936433703",도가니,공지영,창비,"2011","20170929동기화 작업","20180323162841 동기화 작업"
"000000",100728858,장수탕선녀님 장수탕 선녀님,장수탕 선녀님 백희나,백희나,책읽는곰,,"9788993242706",장수탕 선녀님,백희나,책읽는곰,"2012","20170930동기화 작업","20180323162724 동기화 작업"
"000000",100733558,뇌상 뇌 상,뇌 상 베르나르 베르베르,베르나르 베르베르,열린책들,,"9788932904405",뇌 상,베르나르 베르베르,열린책들,"2004","20170930동기화 작업","20180323162751 동기화 작업"
"000000",100734329,어린이첫그림속담사전 어린이첫그림 첫그림속담사전 어린이 첫그림 속담사전,어린이 첫그림 속담사전 편집부,편집부,글송이,,"9788955720914",어린이 첫그림 속담사전,편집부,글송이,"2010","20170930동기화 작업","20181203022705 동기화 작업"
"000000",100735278,혼자있는시간의힘기대를현실로바꾸는 혼자있는시간의힘기대를현실로 있는시간의힘기대를현실로바꾸는 혼자있는시간의힘기대를 있는시간의힘기대를현실로 시간의힘기대를현실로바꾸는 혼자있는시간의힘 있는시간의힘기대를 시간의힘기대를현실로 힘기대를현실로바꾸는 혼자있는시간의 있는시간의힘 시간의힘기대를 힘기대를현실로 기대를현실로바꾸는 혼자있는 있는시간의 시간의힘 힘기대를 기대를현실로 현실로바꾸는 혼자 있는 시간의 힘 기대를 현실로 바꾸는,혼자 있는 시간의 힘 기대를 현실로 바꾸는 사이토 다카시,사이토 다카시,위즈덤하우스,,"9788960868434",혼자 있는 시간의 힘 (기대를 현실로 바꾸는),사이토 다카시,위즈덤하우스,"2015","20170930동기화 작업","20180323162732 동기화 작업"
"000000",100737430,피로사회,피로사회 한병철,한병철,문학과지성사,,"9788932022888",피로사회,한병철,문학과지성사,"2016","20170930동기화 작업","20180323162741 동기화 작업"
"000000",100737683,김제동이만나러갑니다 김제동이만나러 만나러갑니다 김제동이 만나러 갑니다,김제동이 만나러 갑니다 김제동,김제동,위즈덤경향,,"9788996628705",김제동이 만나러 갑니다,김제동,위즈덤경향,"2011","20170930동기화 작업","20180323162742 동기화 작업"
