"MASTER_LIB_KEY","LIB_CODE","LIB_NAME","LIB_LINK","ADDRESS","TEL","URL","KL_JOIN_YN","FIRST_WORK","LAST_WORK","GROUP_CODE","ZIP_CODE","ADDRESS_DETAIL","DELIVERY_MNG","DELIVERY_MNG_TEL","SHARE_INFO","ADMIN_NAME","ADMIN_PHONE","TECH_NAME","TECH_PHONE","AUTO_SEND_YN","X_LOCATION","Y_LOCATION","NILL_YN","SERVICE_YN","LILL_OFFER_YN","LILL_LOAN_YN","LILL_RETURN_YN","SMS_NAME","SMS_PHONE","LILL_GROUP_CODE","SMS_NAME2","SMS_PHONE2","INPUT_DATE","LAUNCH_DATE","SYS_CODE","LIB_TYPE","LAST_VERSION","COLLECT_LOG_SERVICE","COLLECT_LOG_EXCEPTION","HTTP_LINK","INCLUDE_HOLIDAY_YN","LILL_DELAY_RETURN_YN","HTTP_MONITOR_LINK","ADMIN_HANDPHONE","WITHDRAWAL_STATUS","WITHDRAWAL_REASON","WITHDRAWAL_STOP_DATE","START_TIME","END_TIME","ALL_CLOSURE","MA_COMP","DB_PROD","FILE1_NAME","FILE2_NAME","FILE2_SIZE","FILE2_BINARY","FILE1_SIZE","FILE1_BINARY","MONI_NOTI_YN","DB_ENC_SOL_YN","DB_INTEG_YN","THRESHOLD_QUEUE","THRESHOLD_CPU","THRESHOLD_MEMORY"
140239575,"741340",경기 남산모루 작은도서관,"211.46.124.143,33205,30",경기도 동두천시 평화로2460번길 4 동두천 초등학교,"031-864-0355",,Y,,"2018-08-22 09:37:39 459 경기 동두천초등학교지혜의등대도서관 운영정보 수정",경기동두천시립DB,,,,,"127.0.0.1,33210,5",,,,,N,127,37,,Y,N,N,N,,,그룹1,,,2017-08-23,,"00","07","20201106",,,,Y,N,,,,,,,,,,,,,,[NULL],,[NULL],N,N,N,0,0,0
140239575,"741339",경기 사동초등학교지혜의집도서관,"211.46.124.143,33205,30",경기도 동두천시 생연로 65 사동초등학교,"031-861-5075",,Y,,,경기동두천시립DB,,,,,"127.0.0.1,33210,5",,,,,N,127,37,,Y,N,N,N,,,그룹1,,,2017-08-23,,"00","07","20201106",,,,Y,N,,,,,,,,,,,,,,[NULL],,[NULL],N,N,N,0,0,0
140239575,"741338",경기 소요초등학교지혜의등대도서관,"211.46.124.143,33205,30",경기도 동두천시 봉동로 64 상봉암동 237-2 소요초등학교,"031-865-9277",,Y,,"2020-11-03 17:55:12 768 경기 소요초등학교지혜의등대도서관 운영정보 수정",경기동두천시립DB,,,,,"127.0.0.1,33210,5",,,,,N,127,37,,Y,N,N,N,,,그룹1,,,2017-08-23,,"00","07","20201106",,,,Y,N,,,,,,,,,,,,,,[NULL],,[NULL],N,N,N,0,0,0
140239575,"141507",경기 어수정작은도서관,"211.46.124.143,33205,30",경기 동두천시 중앙로 268,"031-860-3275",,Y,,"20211002001310@참여도서관 운영정보 수정(lib141507)",경기동두천시립DB,,,,,"127.0.0.1,33210,5",,,,,N,127,37,,Y,N,N,N,,,그룹1,,,2017-08-23,,"00","07","20201106",,,,Y,N,,,,,,,,,,,,,,[NULL],,[NULL],N,N,N,0,0,0
140239575,"141269",경기 지혜의등대작은도서관,"211.46.124.143,33205,30",경기 동두천시 생연동 70번지 종합운동장 앞,"031-860-3286",,Y,,,경기동두천시립DB,,,,,"127.0.0.1,33210,5",,,,,N,127,37,,Y,N,N,N,,,그룹1,,,2017-08-23,,"00","01","20201106",,,,Y,N,,,,,,,,,,,,,,[NULL],,[NULL],N,N,N,0,0,0
70000097,"126155",부산 분포도서관,"59.20.71.44,33205,30",부산광역시 남구 용호동  176-21번지,"051-607-3640",http://library.bsnamgu.go.kr,Y,"20180330174202 - 참여도서관 추가작업","20190121191945@참여도서관 그룹정보 변경",부산통합지역DB,,,,,"127.0.0.1,33210,5",,,,,N,129,35,Y,Y,N,N,Y,,,그룹1,,,2018-03-30,,"03","01","20161226001",,,http://59.20.71.44:11205/,Y,N,http://59.20.71.44:11205/,,,,,,,,,,,,,[NULL],,[NULL],N,N,N,0,0,0
9545800647,"144032",충남 대산도서관,"27.101.54.141,33205,30",충청남도 서산시 대산읍 대산1로 78-22,"041-660-8087",http://www.seosan.go.kr/citylib/index.do,Y,"20180620105303 - 참여도서관 추가작업","20211003003234@참여도서관 운영정보 수정",충남서산DB,,,,,"127.0.0.1,33210,5",,,,,N,126,36,,Y,N,N,N,,,그룹1,,,2018-06-20,,"00","01","20161226001",,,,Y,N,,,,,,,,,,,,,,[NULL],,[NULL],N,N,N,0,0,0
9545800647,"144070",충남 인지작은도서관,"27.101.54.141,33205,30",충청남도 서산시 대산읍 대산1로 78-22,"070-8244-2588",http://www.seosan.go.kr/citylib/index.do,Y,"20180620105303 - 참여도서관 추가작업","20211003003234@참여도서관 운영정보 수정",충남서산DB,,,,,"127.0.0.1,33210,5",,,,,N,126,36,,Y,N,N,N,,,그룹1,,,2018-06-20,,"00","01","20161226001",,,,Y,N,,,,,,,,,,,,,,[NULL],,[NULL],N,N,N,0,0,0
9545800647,"144111",충남 고북작은도서관,"27.101.54.141,33205,30",충청남도 서산시 고북면 고북1로 294,"070-8668-0880",http://www.seosan.go.kr/citylib/index.do,Y,"20180620105303 - 참여도서관 추가작업","20211003003234@참여도서관 운영정보 수정",충남서산DB,,,,,"127.0.0.1,33210,5",,,,,N,126,36,,Y,N,N,N,,,그룹1,,,2018-06-20,,"00","01","20161226001",,,,Y,N,,,,,,,,,,,,,,[NULL],,[NULL],N,N,N,0,0,0
9545800647,"144123",충남 부석작은도서관,"27.101.54.141,33205,30",충청남도 서산시 부석면 취평2길 26-13,"070-4366-2588",http://www.seosan.go.kr/citylib/index.do,Y,"20180620105303 - 참여도서관 추가작업","20211003003234@참여도서관 운영정보 수정",충남서산DB,,,,,"127.0.0.1,33210,5",,,,,N,126,36,,Y,N,N,N,,,그룹1,,,2018-06-20,,"00","01","20161226001",,,,Y,N,,,,,,,,,,,,,,[NULL],,[NULL],N,N,N,0,0,0
